AL, 30, 2020110718,   , BEST,   0, 277N,  500W,  15,    0, DB,   0,    ,    0,    0,    0,    0, 
AL, 30, 2020110800,   , BEST,   0, 281N,  490W,  15,    0, DB,   0,    ,    0,    0,    0,    0, 
AL, 30, 2020110806,   , BEST,   0, 283N,  482W,  15,    0, DB,   0,    ,    0,    0,    0,    0, 
AL, 30, 2020110812,   , BEST,   0, 284N,  473W,  25, 1010, DB,   0,    ,    0,    0,    0,    0, 1016,  250,  70,   0,   0,    ,   0,    ,   0,   0, GENESIS065,  ,  0,    ,    0,    0,    0,    0, genesis-num, 065, 
AL, 30, 2020110818,   , BEST,   0, 284N,  469W,  25, 1010, EX,   0,    ,    0,    0,    0,    0, 1016,  250,  70,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 065, SPAWNINVEST, al732020 to al972020, 
AL, 30, 2020110900,   , BEST,   0, 285N,  459W,  25, 1010, EX,   0,    ,    0,    0,    0,    0, 1016,  250,  70,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 065, 
AL, 30, 2020110906,   , BEST,   0, 286N,  449W,  30, 1007, EX,   0,    ,    0,    0,    0,    0, 1014,  250,  70,   0,   0,   L,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 065, 
AL, 30, 2020110912,   , BEST,   0, 288N,  438W,  35, 1005, EX,  34, NEQ,    0,    0,    0,   70, 1014,  250,  70,   0,   0,   L,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 065, 
AL, 30, 2020110918,   , BEST,   0, 288N,  424W,  35, 1005, EX,  34, NEQ,    0,    0,    0,   70, 1014,  250,  70,  45,   0,   L,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 065, 
AL, 30, 2020111000,   , BEST,   0, 288N,  410W,  45, 1000, SS,  34, NEQ,    0,   70,  100,  100, 1014,  230,  40,  55,   0,   L,   0,    ,   0,   0,      THETA, M,  0,    ,    0,    0,    0,    0, genesis-num, 065, TRANSITIONED, alE72020 to al302020, 
AL, 30, 2020111006,   , BEST,   0, 288N,  396W,  45,  998, SS,  34, NEQ,    0,   70,  100,  100, 1012,  250,  40,  55,   0,   L,   0,    ,   0,   0,      THETA, M, 12, NEQ,    0,    0,  180,  180, genesis-num, 065, 
AL, 30, 2020111012,   , BEST,   0, 289N,  380W,  60,  989, SS,  34, NEQ,  120,   70,   90,  120, 1012,  250,  30,  75,   0,   L,   0,    ,   0,   0,      THETA, M, 12, NEQ,   60,   60,  180,  180, genesis-num, 065, 
AL, 30, 2020111012,   , BEST,   0, 289N,  380W,  60,  989, SS,  50, NEQ,    0,    0,   40,   60, 1012,  250,  30,  75,   0,   L,   0,    ,   0,   0,      THETA, M, 12, NEQ,   60,   60,  180,  180, genesis-num, 065, 
